timestamp,gx,gy,gz
1463126547342117898,5714.0,4503.0,-2956.0
1463126547344280502,4144.0,7420.0,-970.0
1463126547346979304,2655.0,8331.0,455.0
1463126547349221596,945.0,6098.0,777.0
1463126547351792585,-1502.0,2804.0,183.0
1463126547354219460,-4085.0,242.0,27.0
1463126547362911283,-6160.0,-863.0,-187.0
1463126547369002221,-7308.0,-106.0,-159.0
1463126547377963939,-7907.0,692.0,33.0
1463126547429543627,-8570.0,630.0,164.0
1463126547431928002,-9171.0,-149.0,281.0
1463126547434244564,-9612.0,-1195.0,551.0
1463126547436697637,-9999.0,-2709.0,1035.0
1463126547439154929,-10312.0,-4499.0,1804.0
1463126547441743679,-10315.0,-6373.0,2987.0
1463126547449127429,-9665.0,-6577.0,4020.0
1463126547456760814,-7921.0,-5203.0,4447.0
1463126547467025085,-5784.0,-1939.0,4152.0
1463126547502114877,-3494.0,1367.0,2734.0
1463126547503973679,-1040.0,3311.0,1108.0
1463126547509187429,1278.0,3329.0,164.0
1463126547511896179,3522.0,2933.0,-525.0
1463126547520418210,5462.0,2187.0,-1109.0
1463126547526683262,6979.0,191.0,-1556.0
1463126547536956596,8203.0,-1744.0,-1841.0
1463126547590808627,9124.0,-3416.0,-2079.0
1463126547592996752,9857.0,-4400.0,-2480.0
1463126547595468054,10568.0,-4397.0,-2949.0
1463126547597958679,10877.0,-3878.0,-3304.0
1463126547600689460,10295.0,-5110.0,-3316.0
1463126547604024981,9670.0,-4412.0,-3314.0
1463126547607819564,8724.0,-2616.0,-3003.0
1463126547680620918,7521.0,207.0,-2196.0
1463126547682986960,6085.0,3008.0,-880.0
1463126547685419043,4615.0,5076.0,521.0
1463126547687886700,3245.0,5427.0,1559.0
1463126547692901127,1299.0,3899.0,1636.0
1463126547697942168,-1035.0,2015.0,1085.0
1463126547700496908,-3338.0,380.0,923.0
1463126547703675658,-5075.0,-320.0,852.0
1463126547707876491,-6167.0,202.0,832.0
1463126547710377064,-6809.0,898.0,814.0
1463126547717095814,-7416.0,947.0,745.0
1463126547768826804,-7945.0,463.0,792.0
1463126547771783262,-8316.0,-480.0,929.0
1463126547774111908,-8553.0,-1770.0,1279.0
1463126547776647325,-8646.0,-3049.0,1920.0
1463126547782879096,-8506.0,-3631.0,2716.0
1463126547785398210,-7995.0,-3504.0,3272.0
1463126547787843731,-7277.0,-2805.0,3302.0
1463126547797845033,-6114.0,-1756.0,2795.0
1463126547855733158,-4034.0,-18.0,1850.0
1463126547857949096,-2311.0,1096.0,811.0
1463126547860383471,-540.0,2093.0,-146.0
1463126547863010137,1481.0,2944.0,-1092.0
1463126547869947533,3465.0,3297.0,-2054.0
1463126547872918106,5155.0,2605.0,-2838.0
1463126547876333210,6341.0,880.0,-3295.0
1463126547884114252,7195.0,-852.0,-3501.0
1463126547889368314,7895.0,-2010.0,-3713.0
1463126547943188210,8613.0,-2544.0,-3937.0
1463126547945436752,9075.0,-2565.0,-4169.0
1463126547947990241,8877.0,-3599.0,-4164.0
1463126547950633314,8473.0,-3698.0,-4145.0
1463126547953058366,7769.0,-2144.0,-3943.0
1463126547959338679,6826.0,405.0,-3425.0
1463126547961911700,5313.0,3580.0,-2025.0
1463126547967452637,3738.0,5822.0,-557.0
1463126547976877585,2379.0,6273.0,516.0
1463126548030737481,454.0,4908.0,810.0
1463126548032951908,-1584.0,2836.0,800.0
1463126548035374043,-3489.0,1163.0,643.0
1463126548037860085,-5059.0,229.0,710.0
1463126548040357585,-6192.0,342.0,843.0
1463126548047705970,-6941.0,855.0,979.0
1463126548054080189,-7487.0,1012.0,1065.0
1463126548061701648,-7922.0,692.0,1162.0
1463126548066739460,-8261.0,-125.0,1351.0
1463126548126201543,-8494.0,-1344.0,1676.0
1463126548128724564,-8545.0,-2834.0,2261.0
1463126548134293366,-8330.0,-3890.0,3019.0
1463126548136772481,-7702.0,-4128.0,3580.0
1463126548139138731,-6527.0,-3458.0,3703.0
1463126548141682012,-4489.0,-1100.0,3059.0
1463126548151990137,-2736.0,1446.0,1826.0
1463126548155478783,-646.0,3483.0,448.0
1463126548158037168,1608.0,4019.0,-672.0
1463126548209455866,3858.0,3521.0,-1552.0
1463126548211857272,5791.0,2299.0,-2306.0
1463126548214173106,7285.0,560.0,-2910.0
1463126548222153991,8416.0,-1139.0,-3237.0
1463126548224382168,9338.0,-2137.0,-3451.0
1463126548228076179,10118.0,-2405.0,-3651.0
1463126548230667741,10850.0,-1560.0,-3953.0
1463126548238115970,10722.0,-2154.0,-3887.0
1463126548247091335,9833.0,-2545.0,-3808.0
1463126548305762064,8966.0,-561.0,-3736.0
1463126548308067689,7776.0,2938.0,-3126.0
1463126548310508054,6532.0,5810.0,-1619.0
1463126548313025606,4940.0,7828.0,351.0
1463126548315408314,3609.0,6863.0,1737.0
1463126548317947429,1384.0,4656.0,749.0
1463126548325314147,-1471.0,2123.0,209.0
1463126548327918991,-3985.0,329.0,-543.0
1463126548341957949,-5838.0,-93.0,-754.0
1463126548388321179,-7009.0,566.0,-597.0
1463126548392419408,-7725.0,1434.0,-487.0
1463126548393471335,-8247.0,1754.0,-446.0
1463126548395513210,-8681.0,1393.0,-430.0
1463126548397996804,-9013.0,666.0,-324.0
1463126548402633210,-9245.0,-843.0,-45.0
1463126548407878366,-9320.0,-3201.0,775.0
1463126548416912585,-9314.0,-5712.0,2061.0
1463126548475895606,-9063.0,-6502.0,3277.0
1463126548478112793,-7647.0,-5227.0,3645.0
1463126548480438366,-5594.0,-2574.0,3402.0
1463126548486678418,-3514.0,483.0,2223.0
1463126548489349512,-1262.0,2251.0,747.0
1463126548492052064,912.0,2275.0,232.0
1463126548494390345,3092.0,2161.0,-339.0
1463126548500608210,5131.0,2295.0,-1190.0
1463126548506897377,6631.0,1272.0,-1742.0
1463126548563215241,7693.0,-862.0,-2016.0
1463126548565469408,8401.0,-2833.0,-2099.0
1463126548568018001,8910.0,-4269.0,-2392.0
1463126548570502272,9811.0,-3782.0,-3005.0
1463126548572950033,9947.0,-4306.0,-3264.0
1463126548575399668,9064.0,-4686.0,-3223.0
1463126548577694356,8462.0,-3649.0,-2969.0
1463126548586756335,7624.0,-1313.0,-2834.0
1463126548596689304,6103.0,1629.0,-2004.0
1463126548652102793,4416.0,4288.0,-677.0
1463126548654283939,2974.0,5799.0,545.0
1463126548656710241,1412.0,4718.0,1123.0
1463126548659145918,-982.0,2615.0,785.0
1463126548661897845,-3360.0,828.0,524.0
1463126548664222741,-5332.0,-538.0,328.0
1463126548667078574,-6399.0,-252.0,264.0
1463126548676723418,-7226.0,466.0,512.0
1463126548686988991,-7843.0,919.0,727.0
1463126548743377637,-8206.0,625.0,867.0
1463126548745537429,-8463.0,-135.0,1172.0
1463126548748381126,-8653.0,-1396.0,1516.0
1463126548750546960,-8699.0,-3539.0,2209.0
1463126548753034929,-8498.0,-5523.0,3233.0
1463126548755497741,-7903.0,-6342.0,4115.0
1463126548758193001,-6564.0,-5101.0,4252.0
1463126548766798991,-4247.0,-2489.0,3668.0
1463126548829529147,-3064.0,183.0,2558.0
1463126548831802637,-2085.0,2256.0,1506.0
1463126548834194876,530.0,3797.0,195.0
1463126548836681491,3063.0,4778.0,-862.0
1463126548840064095,5032.0,4608.0,-1703.0
1463126548842955762,6421.0,2486.0,-2140.0
1463126548847896387,7083.0,-115.0,-2404.0
1463126548850369981,7348.0,-2412.0,-2665.0
1463126548856695293,7751.0,-4239.0,-2896.0
1463126548866798991,7926.0,-4826.0,-3372.0
1463126548916867064,8193.0,-5100.0,-3997.0
1463126548919068626,7453.0,-5118.0,-4288.0
1463126548921655345,6724.0,-3052.0,-4110.0
1463126548935467637,5867.0,61.0,-3731.0
1463126548937847012,4935.0,3682.0,-2731.0
1463126548943606543,3821.0,7238.0,-506.0
1463126548945036022,2944.0,8840.0,979.0
1463126548951678731,1948.0,7429.0,1054.0
1463126549004354564,-239.0,4909.0,658.0
1463126549006629095,-2618.0,2531.0,261.0
1463126549009298418,-4519.0,888.0,-292.0
1463126549012724720,-5622.0,746.0,-543.0
1463126549015309095,-6500.0,1035.0,-487.0
1463126549017857949,-7182.0,1092.0,-267.0
1463126549021658158,-7681.0,765.0,108.0
1463126549026619720,-7991.0,326.0,519.0
1463126549093257897,-8247.0,-505.0,837.0
1463126549095461126,-8448.0,-1851.0,1358.0
1463126549097902272,-8579.0,-2961.0,2097.0
1463126549100385918,-8442.0,-3255.0,2803.0
1463126549102995501,-7644.0,-2907.0,3339.0
1463126549105430553,-6152.0,-768.0,3105.0
1463126549108328887,-3910.0,1470.0,2278.0
1463126549114870970,-1805.0,2343.0,1257.0
1463126549120196543,421.0,1732.0,539.0
1463126549128668783,2504.0,758.0,-40.0
1463126549189375814,4500.0,279.0,-878.0
1463126549191822428,6150.0,-529.0,-1602.0
1463126549194075762,7469.0,-1726.0,-2044.0
1463126549200196595,8430.0,-2687.0,-2366.0
1463126549202708053,9289.0,-3058.0,-2724.0
1463126549206560501,9760.0,-3133.0,-3032.0
1463126549209093782,9561.0,-4520.0,-3144.0
1463126549214197897,8980.0,-5771.0,-3271.0
1463126549220760449,8286.0,-5250.0,-3266.0
1463126549275808001,7174.0,-2689.0,-3088.0
1463126549278034407,6098.0,73.0,-2364.0
1463126549280452220,4774.0,3007.0,-1384.0
1463126549282918730,3843.0,5022.0,22.0
1463126549285587480,2706.0,5141.0,690.0
1463126549291998001,743.0,3981.0,351.0
1463126549367570293,-1511.0,2205.0,82.0
1463126549376713470,-3479.0,443.0,-177.0
1463126549380278678,-4980.0,-518.0,-317.0
1463126549382869980,-6087.0,-198.0,-260.0
1463126549385356022,-6820.0,672.0,-89.0
1463126549388011230,-7280.0,1403.0,48.0
1463126549388992376,-7579.0,1568.0,85.0
1463126549389963105,-7849.0,965.0,153.0
1463126549390946074,-8084.0,-260.0,451.0
1463126549392030918,-8207.0,-1864.0,1069.0
1463126549396806282,-8111.0,-3535.0,1941.0
1463126549399190866,-7802.0,-4846.0,2854.0
1463126549454239251,-7299.0,-5291.0,3488.0
1463126549456552793,-6540.0,-4754.0,3695.0
1463126549463796647,-5247.0,-2901.0,3372.0
1463126549466467480,-3640.0,-837.0,2664.0
1463126549468990501,-1905.0,1137.0,1619.0
1463126549471522741,-200.0,2439.0,844.0
1463126549473947897,1713.0,3323.0,49.0
1463126549480362897,3548.0,3646.0,-949.0
1463126549486942897,5107.0,2806.0,-1760.0
1463126549542040032,6245.0,1078.0,-2170.0
1463126549544213001,7161.0,-717.0,-2236.0
1463126549549132220,8050.0,-2096.0,-2391.0
1463126549551735709,8599.0,-2751.0,-2778.0
1463126549554414459,9195.0,-2721.0,-3092.0
1463126549559004251,9228.0,-3186.0,-3392.0
1463126549561869876,8750.0,-4083.0,-3469.0
1463126549568160866,8206.0,-2819.0,-3363.0
1463126549576944928,7377.0,-174.0,-3045.0
1463126549629552116,6446.0,2552.0,-2158.0
1463126549631923470,5284.0,4515.0,-1071.0
1463126549636919980,4098.0,5297.0,-127.0
1463126549639169303,2706.0,4439.0,238.0
1463126549641674303,790.0,2820.0,-140.0
1463126549644095866,-1232.0,1058.0,-532.0
1463126549646703939,-3108.0,-20.0,-712.0
1463126549717947949,-4502.0,128.0,-848.0
1463126549721300501,-5539.0,981.0,-852.0
1463126549725200501,-6360.0,1734.0,-898.0
1463126549727821491,-7109.0,1884.0,-852.0
1463126549730486178,-7726.0,1466.0,-679.0
1463126549732810345,-8194.0,547.0,-290.0
1463126549735210814,-8532.0,-738.0,371.0
1463126549742524980,-8824.0,-2019.0,1227.0
1463126549747088939,-8898.0,-2917.0,2231.0
1463126549749194095,-8594.0,-2845.0,3010.0
1463126549805672272,-7996.0,-2518.0,3367.0
1463126549807976647,-6918.0,-1627.0,3263.0
1463126549810406751,-4976.0,-298.0,2837.0
1463126549813788209,-2847.0,697.0,2313.0
1463126549816673053,-776.0,1488.0,1573.0
1463126549822044720,1340.0,1884.0,780.0
1463126549827781334,3286.0,1587.0,-217.0
1463126549830589772,4931.0,597.0,-939.0
1463126549838178470,6260.0,-433.0,-1310.0
