timestamp,mx,my,mz
1463127117134771535,1651.0,1435.0,-1120.0
1463127117144894712,1572.0,1356.0,-1277.0
1463127117193809347,1572.0,1356.0,-1277.0
1463127117196171118,1612.0,1317.0,-1395.0
1463127117198616535,1612.0,1317.0,-1395.0
1463127117202704191,1612.0,1395.0,-1238.0
1463127117204777680,1612.0,1395.0,-1238.0
1463127117219543826,1415.0,1592.0,-1356.0
1463127117224860545,1415.0,1592.0,-1356.0
1463127117227275337,1533.0,1395.0,-1159.0
1463127117281163357,1533.0,1395.0,-1159.0
1463127117283736482,1690.0,1317.0,-1317.0
1463127117286052524,1690.0,1317.0,-1317.0
1463127117288436118,1572.0,1356.0,-1277.0
1463127117292201691,1572.0,1356.0,-1277.0
1463127117294627576,1612.0,1317.0,-924.0
1463127117297096118,1612.0,1317.0,-924.0
1463127117305565857,1572.0,1356.0,-1277.0
1463127117313975441,1572.0,1356.0,-1277.0
1463127117374917003,1808.0,1435.0,-963.0
1463127117377247628,1808.0,1435.0,-963.0
1463127117379731847,1651.0,1435.0,-963.0
1463127117382440753,1651.0,1435.0,-963.0
1463127117384729660,1494.0,1513.0,-884.0
1463127117387423514,1494.0,1513.0,-884.0
1463127117394669451,1415.0,1199.0,-1356.0
1463127117397158618,1415.0,1199.0,-1356.0
1463127117407268253,1612.0,1474.0,-1317.0
1463127117461154920,1612.0,1474.0,-1317.0
1463127117463405337,1769.0,1474.0,-1159.0
1463127117467140649,1769.0,1474.0,-1159.0
1463127117469665753,1336.0,1277.0,-1277.0
1463127117472183670,1336.0,1277.0,-1277.0
1463127117474658774,1730.0,1749.0,-1042.0
1463127117480655545,1730.0,1749.0,-1042.0
1463127117485977732,1690.0,1553.0,-1002.0
1463127117494701014,1690.0,1553.0,-1002.0
1463127117549311534,1887.0,1435.0,-1042.0
1463127117551435076,1887.0,1435.0,-1042.0
1463127117554135128,1612.0,1631.0,-1081.0
1463127117556310545,1612.0,1631.0,-1081.0
1463127117560098670,1454.0,1474.0,-1238.0
1463127117567537472,1454.0,1474.0,-1238.0
1463127117569915284,1769.0,1238.0,-1081.0
1463127117576102993,1769.0,1238.0,-1081.0
1463127117585329712,1572.0,1592.0,-1120.0
1463127117636502680,1572.0,1592.0,-1120.0
1463127117638635493,1808.0,1513.0,-1356.0
1463127117641240857,1808.0,1513.0,-1356.0
1463127117643613670,1651.0,1513.0,-1120.0
1463127117646074295,1651.0,1513.0,-1120.0
1463127117649497055,1651.0,1592.0,-1120.0
1463127117657455857,1651.0,1592.0,-1120.0
1463127117665053566,1572.0,1356.0,-1199.0
1463127117674219399,1572.0,1356.0,-1199.0
1463127117724928826,1926.0,1789.0,-1081.0
1463127117727215857,1926.0,1789.0,-1081.0
1463127117729646274,1730.0,1513.0,-963.0
1463127117732176847,1730.0,1513.0,-963.0
1463127117734677836,1690.0,1553.0,-1238.0
1463127117742049347,1690.0,1553.0,-1238.0
1463127117744650701,1612.0,1317.0,-1238.0
1463127117757155389,1612.0,1317.0,-1238.0
1463127117812695701,1690.0,1395.0,-1238.0
1463127117815047784,1690.0,1395.0,-1238.0
1463127117818053201,1612.0,1395.0,-1081.0
1463127117822312003,1612.0,1395.0,-1081.0
1463127117824798670,1730.0,1120.0,-1199.0
1463127117829876795,1730.0,1120.0,-1199.0
1463127117833475336,1415.0,1671.0,-1199.0
1463127117837299868,1415.0,1671.0,-1199.0
1463127117846349243,1651.0,1513.0,-1199.0
1463127117900137680,1651.0,1513.0,-1199.0
1463127117902467784,1454.0,1395.0,-1159.0
1463127117904918045,1454.0,1395.0,-1159.0
1463127117907506638,1612.0,1631.0,-1238.0
1463127117909812316,1612.0,1631.0,-1238.0
1463127117912368461,1651.0,1513.0,-1277.0
1463127117920339868,1651.0,1513.0,-1277.0
1463127117926039138,1690.0,1474.0,-1159.0
1463127117934759503,1690.0,1474.0,-1159.0
1463127117994042576,1572.0,1356.0,-1356.0
1463127117996262836,1572.0,1356.0,-1356.0
1463127117998602524,1572.0,1513.0,-1120.0
1463127118004878566,1572.0,1513.0,-1120.0
1463127118007377055,1808.0,1435.0,-1120.0
1463127118009780180,1808.0,1435.0,-1120.0
1463127118013059555,1533.0,1317.0,-1238.0
1463127118018332472,1533.0,1317.0,-1238.0
1463127118026080180,1769.0,1553.0,-1317.0
1463127118082540232,1769.0,1553.0,-1317.0
1463127118084898774,1533.0,1474.0,-1159.0
1463127118087309607,1533.0,1474.0,-1159.0
1463127118092365701,1572.0,1435.0,-1042.0
1463127118094918357,1572.0,1435.0,-1042.0
1463127118097309607,1533.0,1317.0,-1317.0
1463127118100575805,1533.0,1317.0,-1317.0
1463127118106175440,1258.0,1671.0,-1277.0
1463127118114942003,1258.0,1671.0,-1277.0
1463127118172836222,1769.0,1474.0,-924.0
1463127118174936170,1769.0,1474.0,-924.0
1463127118177326065,1690.0,1474.0,-1002.0
1463127118180907315,1690.0,1474.0,-1002.0
1463127118183676586,1651.0,1199.0,-1042.0
1463127118186297680,1651.0,1199.0,-1042.0
1463127118192700284,1533.0,1395.0,-1159.0
1463127118197269138,1533.0,1395.0,-1159.0
1463127118204661222,1612.0,1474.0,-1081.0
1463127118261297420,1612.0,1474.0,-1081.0
1463127118263933670,1612.0,1317.0,-1002.0
1463127118266143253,1612.0,1317.0,-1002.0
1463127118268551899,1494.0,1356.0,-1277.0
1463127118271072263,1494.0,1356.0,-1277.0
1463127118273796065,1651.0,1356.0,-1435.0
1463127118275922732,1651.0,1356.0,-1435.0
1463127118286122159,1612.0,1474.0,-1002.0
1463127118294926274,1612.0,1474.0,-1002.0
1463127118350183461,1572.0,1277.0,-1199.0
1463127118352378826,1572.0,1277.0,-1199.0
1463127118354819920,1690.0,1317.0,-1317.0
1463127118357383670,1690.0,1317.0,-1317.0
1463127118359787836,1690.0,1710.0,-1081.0
1463127118362290128,1690.0,1710.0,-1081.0
1463127118364772992,1690.0,1317.0,-1159.0
1463127118374953826,1690.0,1317.0,-1159.0
1463127118388578201,1572.0,1435.0,-1120.0
1463127118440908305,1572.0,1435.0,-1120.0
1463127118443662367,1533.0,1317.0,-1317.0
1463127118446270232,1533.0,1317.0,-1317.0
1463127118448668774,1612.0,1317.0,-1081.0
1463127118451236065,1612.0,1317.0,-1081.0
1463127118461040232,1651.0,1513.0,-1199.0
1463127118463609659,1651.0,1513.0,-1199.0
1463127118466084503,1415.0,1356.0,-1199.0
1463127118525808253,1415.0,1356.0,-1199.0
1463127118526859034,1769.0,1395.0,-1002.0
1463127118528639711,1769.0,1395.0,-1002.0
1463127118530503044,1690.0,1710.0,-1159.0
1463127118545784763,1690.0,1710.0,-1159.0
1463127118548573097,1730.0,1435.0,-1199.0
1463127118551208930,1730.0,1435.0,-1199.0
1463127118553615753,1808.0,1199.0,-1199.0
1463127118556102055,1808.0,1199.0,-1199.0
1463127118613616742,1454.0,1317.0,-1395.0
1463127118615985128,1454.0,1317.0,-1395.0
1463127118618383253,1690.0,1317.0,-1317.0
1463127118620954555,1690.0,1317.0,-1317.0
1463127118623441794,1651.0,1356.0,-1120.0
1463127118625924294,1651.0,1356.0,-1120.0
1463127118630523722,1454.0,1238.0,-1159.0
1463127118638108409,1454.0,1238.0,-1159.0
1463127118645064919,1494.0,1513.0,-1277.0
1463127118705136951,1494.0,1513.0,-1277.0
1463127118707426065,1572.0,1356.0,-1199.0
1463127118709791794,1572.0,1356.0,-1199.0
1463127118712293565,1572.0,1277.0,-1199.0
1463127118714828878,1572.0,1277.0,-1199.0
1463127118717332263,1572.0,1356.0,-1199.0
1463127118723249711,1572.0,1356.0,-1199.0
1463127118726051169,1808.0,1356.0,-1356.0
1463127118738660336,1808.0,1356.0,-1356.0
1463127118789918357,1730.0,1356.0,-1356.0
1463127118793032576,1730.0,1356.0,-1356.0
1463127118798426638,1651.0,1356.0,-1435.0
1463127118800956274,1651.0,1356.0,-1435.0
1463127118803384815,1612.0,1317.0,-1317.0
1463127118809942211,1612.0,1317.0,-1317.0
1463127118817384138,1651.0,963.0,-1513.0
1463127118818288878,1651.0,963.0,-1513.0
1463127118826133617,1690.0,924.0,-1395.0
1463127118877369867,1690.0,924.0,-1395.0
1463127118879637628,2005.0,1238.0,-1395.0
1463127118882123721,2005.0,1238.0,-1395.0
1463127118884523826,2044.0,884.0,-1120.0
1463127118887015701,2044.0,884.0,-1120.0
1463127118892332263,2084.0,845.0,-1002.0
1463127118897279242,2084.0,845.0,-1002.0
1463127118904624607,2084.0,924.0,-1238.0
1463127118914810857,2084.0,924.0,-1238.0
1463127118996124034,2319.0,688.0,-1081.0
1463127119054029659,2319.0,688.0,-1081.0
1463127119056733096,2319.0,688.0,-1081.0
1463127119059419398,2319.0,688.0,-1081.0
1463127119061508357,2791.0,-570.0,-609.0
1463127119063936690,2791.0,-570.0,-609.0
1463127119067934190,2988.0,-845.0,-334.0
1463127119070144190,2988.0,-845.0,-334.0
1463127119075470284,2831.0,-1395.0,-255.0
1463127119087863826,2831.0,-1395.0,-255.0
1463127119142463721,2713.0,-1671.0,-58.0
1463127119145018201,2713.0,-1671.0,-58.0
1463127119147648617,2752.0,-1789.0,-334.0
1463127119149805388,2752.0,-1789.0,-334.0
1463127119152680753,2831.0,-2418.0,-176.0
1463127119155057628,2831.0,-2418.0,-176.0
1463127119162309138,2555.0,-2457.0,-216.0
1463127119164864919,2555.0,-2457.0,-216.0
1463127119233893305,2398.0,-2772.0,-137.0
1463127119235534398,2398.0,-2772.0,-137.0
1463127119239998617,2437.0,-3047.0,-19.0
1463127119242564711,2437.0,-3047.0,-19.0
1463127119247672003,2359.0,-3204.0,-176.0
1463127119250056690,2359.0,-3204.0,-176.0
1463127119253626169,2241.0,-3479.0,-137.0
1463127119257512732,2241.0,-3479.0,-137.0
1463127119262425388,2044.0,-3519.0,-334.0
1463127119268551378,2044.0,-3519.0,-334.0
1463127119321338513,2162.0,-3479.0,-216.0
1463127119323579763,2162.0,-3479.0,-216.0
1463127119326055857,1926.0,-3637.0,-373.0
1463127119329650753,1926.0,-3637.0,-373.0
1463127119336977784,1848.0,-3558.0,-216.0
1463127119339799138,1848.0,-3558.0,-216.0
1463127119342186430,1926.0,-3794.0,-452.0
1463127119344620492,1926.0,-3794.0,-452.0
1463127119354712367,1769.0,-3637.0,-609.0
1463127119408928305,1769.0,-3637.0,-609.0
1463127119411284294,1690.0,-3715.0,-452.0
1463127119413647523,1690.0,-3715.0,-452.0
1463127119416177263,1376.0,-3637.0,-1002.0
1463127119423631898,1376.0,-3637.0,-1002.0
1463127119425791638,1022.0,-3912.0,-1042.0
1463127119431341013,1022.0,-3912.0,-1042.0
1463127119434664919,825.0,-3794.0,-1474.0
1463127119443764190,825.0,-3794.0,-1474.0
1463127119496479867,786.0,-3361.0,-2457.0
1463127119498694398,786.0,-3361.0,-2457.0
1463127119501332732,550.0,-2654.0,-3479.0
1463127119503799815,550.0,-2654.0,-3479.0
1463127119511365805,393.0,-1789.0,-4738.0
1463127119513625127,393.0,-1789.0,-4738.0
1463127119516092940,865.0,-1159.0,-5288.0
1463127119524796325,865.0,-1159.0,-5288.0
1463127119534821534,943.0,-137.0,-5603.0
1463127119585199607,943.0,-137.0,-5603.0
1463127119588239555,1101.0,491.0,-5681.0
1463127119593574554,1101.0,491.0,-5681.0
1463127119596143148,1258.0,963.0,-5760.0
1463127119599842159,1258.0,963.0,-5760.0
1463127119602161273,1140.0,1631.0,-5878.0
1463127119607322992,1140.0,1631.0,-5878.0
1463127119614798148,865.0,1828.0,-5681.0
1463127119672367940,865.0,1828.0,-5681.0
1463127119674754763,589.0,1789.0,-5564.0
1463127119677364919,589.0,1789.0,-5564.0
1463127119679783669,314.0,1749.0,-5681.0
1463127119687461846,314.0,1749.0,-5681.0
1463127119690768357,589.0,1553.0,-5721.0
1463127119696183877,589.0,1553.0,-5721.0
1463127119698736117,1101.0,1042.0,-5917.0
